id,sentiment,tone,language
1697596402212237438,positive,cautious,arabic
1697593881880137805,caution,informative,arabic
1697536092709478855,positive,appreciative,English
1697535722826133716,caution,informative,arabic
1697529035155177828,positive,neutral,English
1697524245914321158,positive,informative,Arabic
1697524220496851453,positive,informative,Arabic
1697524200095748495,positive,informative,arabic
1697524180810449173,positive,informative,English
1697523722893074671,positive,inspiring,Arabic
1697523556941242441,positive,celebratory,Arabic
1697523413135327293,positive,informative,arabic
1697523367375417562,positive,informative,English
1697523296680489376,positive,informative,Arabic
1697523064542572612,caution,informative,arabic
1697522330690326538,positive,cautious,arabic
1697518147874558012,caution,warning,arabic
1697507636743176333,positive,cautious,arabic
1697487830446969042,caution,warning,arabic
1697444134682804714,caution,warning,arabic
1697370249518006447,caution,informative,arabic
1697341494519087203,positive,cautious,arabic
1697331202909155481,caution,informative,arabic
1697321910827122918,caution,informative,arabic
1697316542122197336,caution,warning,arabic
1697315216919327135,positive,appreciative,Arabic
1697315048929075547,caution,informative,arabic
1697313089656598763,positive,neutral,English
1697312937637994656,caution,informative,arabic
1697309408579981461,caution,informative,arabic
1697307520610501009,positive,neutral,English
1697305825650348536,caution,informative,arabic
1697305768402321415,positive,cautious,arabic
1697294388425052174,positive,cautious,arabic
1697267131828818117,caution,informative,arabic
1697263875442217264,caution,informative,arabic
1697253084035260586,caution,informative,arabic
1697232083901448498,negative,cautious,arabic
1697231582187143255,positive,cautious,arabic
1696910875318194203,negative,cautious,arabic
1697229146034672090,positive,cautious,arabic
1696910426548621479,positive,cautious,arabic
1697228914039406766,caution,warning,arabic
1697224205560123808,caution,warning,arabic
1697212316767371325,negative,informative,arabic
1697207092040311162,positive,informative,Arabic
1696939846474797271,positive,cautious,arabic
1696927448850481218,caution,warning,arabic
1696927392458064081,caution,neutral,arabic
1696917584690458907,positive,cautious,arabic
1696917109765206252,positive,cautious,arabic
1696912187032289581,caution,informative,arabic
1696935647833915791,negative,cautious,arabic
1696927410380325031,positive,cautious,arabic
1696901070247632898,positive,informative,arabic
1697203079102222381,positive,informative,English
1697203026480464104,positive,informative,arabic
1696909628536131934,positive,informative,arabic
1696839662675837407,positive,informative,arabic
1697201447555760543,caution,informative,arabic
1697200928061886819,caution,informative,arabic
1697159387930882094,positive,informative,arabic
1697148271947399564,positive,excited,Arabic
1697140363599679592,caution,informative,arabic
1697138636569874589,positive,cautious,arabic
1697134951710302641,positive,informative,arabic
1696917325398639027,caution,warning,arabic
1697129556774146136,positive,informative,arabic
1697129546779148341,positive,excited,Arabic
1697129470375682233,positive,excited,Arabic
1697129435927806450,positive,promotional,arabic
1697129407658242133,positive,informative,arabic
1697129315299733820,positive,informative,arabic
1697129193992016368,positive,excited,Arabic
1697128981256929348,positive,informative,arabic
1697093702919880890,positive,cautious,arabic
1697088574057771221,negative,sarcastic,arabic
1697088283581218952,positive,cautious,arabic
1697085441860649159,positive,cautious,arabic
1697079709836685393,positive,cautious,arabic
1697033269395509477,caution,warning,arabic
1697007400245424204,positive,appreciative,English
1696997843628650573,neutral,informative,English
1696975912602927395,positive,cautious,arabic
1696973787302932813,positive,cautious,arabic
1696972739792249051,caution,informative,arabic
1696958499194875916,caution,informative,arabic
1696944984224665938,caution,neutral,arabic
1696941028291281008,positive,cautious,arabic
1696940372247613493,positive,cautious,arabic
1696939942071423277,positive,informative,arabic
1696938786599436744,negative,frustrated,arabic
1696937630686978143,caution,neutral,arabic
1696936375948398766,positive,cautious,arabic
1696935704482152724,fear,distrust,arabic
1696935252436848654,caution,informative,arabic
1696920539820966249,positive,cautious,arabic
1696918408015585758,negative,pleading,arabic
1696917033571549404,positive,cautious,arabic
1696916859830894779,caution,informative,arabic
1696915361080197212,positive,cautious,arabic
1696914377918558336,positive,cautious,arabic
1696913699296948582,positive,cautious,arabic
1696913269259116594,negative,neutral,arabic
1696912536933695881,positive,cautious,arabic
1696912229336002566,positive,cautious,arabic
1696912098830213438,positive,cautious,arabic
1697522601873093031,positive,informative,English
1697522723449143722,positive,informative,arabic
1696467776062321116,positive,informative,English
1696034068817678840,positive,informative,English
1695319894697333058,positive,informative,English
1695357388923060280,positive,informative,arabic
1697432704340406481,positive,informative,arabic
1697432153728966872,positive,informative,arabic
1697203778603143268,positive,cautious,arabic
1697142116294467602,positive,informative,arabic
1697120414827159906,positive,cautious,arabic
1697129277567701066,positive,informative,arabic
1697121677706965257,positive,cautious,arabic
1696996242478305499,positive,informative,arabic
1696995010615627961,positive,informative,arabic
1696981578939879803,positive,informative,arabic
1696975015650996683,positive,informative,arabic
1696944527506886815,positive,informative,arabic
1696943823149040071,positive,cautious,arabic
1696942779312521324,positive,informative,arabic
1696942749939888263,negative,cautious,arabic
1696941719701565485,caution,warning,arabic
1696937372724662567,negative,cautious,arabic
1696934078522564632,neutral,cautionary,arabic
1696933322008498656,positive,informative,arabic
1696931088264770009,positive,informative,arabic
1696929164912197865,positive,informative,arabic
1696927953655939301,positive,informative,arabic
1696924465471377583,positive,cautious,arabic
1696923868491923856,positive,cautious,arabic
1696919677778219277,positive,cautious,arabic
1696918944106377636,positive,cautious,arabic
1696918450260623480,positive,cautious,arabic
1696911566292062215,caution,warning,arabic
1696910787653030172,positive,cautious,arabic
1696910748734152887,caution,informative,arabic
1696910505988755643,positive,cautious,arabic
1697605524223627303,positive,assertive,English
1697603055389168008,positive,informative,arabic
